Datetime,open,high,low,close,volume
2013-08-23,99.07,99.149,98.35,98.713,130592
2013-08-25,98.54,98.843,98.126,98.67,36793
2013-08-26,98.662,98.75,98.01,98.256,130465
2013-08-27,98.256,98.261,96.79,97.111,200963
2013-08-28,97.114,97.906,97.04,97.73,169823
2013-08-29,97.732,98.521,97.66,98.27,173797
2013-08-30,98.274,98.341,97.86,98.167,119001
2013-09-01,98.243,98.673,98.224,98.598,42319
2013-09-02,98.589,99.703,98.5,99.37,137282
2013-09-03,99.362,99.86,99.15,99.695,189306
2013-09-04,99.69,99.891,99.29,99.873,161081
2013-09-05,99.877,100.225,99.53,99.829,191369
2013-09-06,99.827,99.896,98.52,99.08,142064
2013-09-08,99.06,100.13,99.06,99.72,56616
2013-09-09,99.717,99.755,99.31,99.62,145218
2013-09-10,99.62,100.61,99.52,100.498,181313
2013-09-11,100.483,100.552,99.36,99.489,172310
2013-09-12,99.49,99.836,98.98,99.644,171370
2013-09-13,99.636,99.977,99.16,99.36,111027
2013-09-15,99.432,99.504,98.43,98.925,40841
2013-09-16,98.93,99.356,98.61,99.202,135978
2013-09-17,99.205,99.383,99.013,99.18,126106
2013-09-18,99.179,99.255,97.73,98.37,189317
2013-09-19,98.366,99.628,98.19,99.26,183080
2013-09-20,99.263,99.669,99.18,99.329,107814
2013-09-22,99.2,99.361,98.99,99.12,23056
2013-09-23,99.09,99.162,98.62,98.82,123292
2013-09-24,98.8,99.175,98.44,98.68,143359
2013-09-25,98.67,99.111,98.23,98.8,158952
2013-09-26,98.798,99.134,98.47,98.64,152737
2013-09-27,98.637,98.761,98.06,98.24,112966
2013-09-29,97.774,98.053,97.488,97.9,47886
2013-09-30,97.931,98.725,97.46,98.18,191161
2013-10-01,98.172,98.295,97.62,97.741,184544
2013-10-02,97.75,97.797,97.11,97.69,187553
2013-10-03,97.684,97.873,96.89,97.251,183827
2013-10-04,97.255,97.481,96.92,97.43,112624
2013-10-06,97.42,97.44,96.98,97.119,37557
2013-10-07,97.125,97.216,96.53,97.051,180708
2013-10-08,97.052,97.433,96.79,97.323,212925
2013-10-09,97.326,97.806,97.08,97.806,323603
2013-10-10,97.806,98.551,97.59,98.408,336857
2013-10-11,98.41,98.592,98.14,98.582,198581
2013-10-13,98.08,98.351,98.04,98.27,41545
2013-10-14,98.268,98.703,98.06,98.46,188966
2013-10-15,98.43,98.702,97.97,98.522,350527
2013-10-16,98.525,99.004,98.21,98.54,316035
2013-10-17,98.54,98.569,97.7,98.01,321932
2013-10-18,98.0,98.097,97.52,97.721,186411
2013-10-20,97.76,98.101,97.72,97.976,65846
2013-10-21,97.98,98.366,97.94,98.3,208081
2013-10-22,98.301,98.483,97.24,97.426,287704
2013-10-23,97.419,97.55,97.13,97.348,301787
2013-10-24,97.344,97.617,96.91,97.025,285745
2013-10-25,97.03,97.491,96.92,97.406,184690
2013-10-27,97.51,97.772,97.41,97.617,69711
2013-10-28,97.62,97.789,97.43,97.532,213026
2013-10-29,97.532,98.278,97.43,98.18,248591
2013-10-30,98.175,98.676,97.99,98.322,286121
2013-10-31,98.32,98.42,97.78,97.933,307641
2013-11-01,97.92,98.849,97.88,98.695,198784
2013-11-03,98.64,98.844,98.59,98.73,45359
2013-11-04,98.73,98.753,98.2,98.52,195895
2013-11-05,98.509,98.762,98.13,98.65,253491
2013-11-06,98.644,98.748,98.43,98.614,215816
2013-11-07,98.61,99.409,97.59,98.121,372144
2013-11-08,98.126,99.221,97.93,99.05,240086
2013-11-10,99.16,99.24,98.9,99.0,64160
2013-11-11,99.0,99.592,98.88,99.553,194802
2013-11-12,99.554,99.798,99.39,99.478,271627
2013-11-13,99.468,99.726,99.08,99.627,308673
2013-11-14,99.627,100.305,99.55,100.104,319578
2013-11-15,100.098,100.432,99.91,100.154,181666
2013-11-17,100.15,100.39,99.94,100.083,80166
2013-11-18,100.077,100.202,99.54,99.86,264178
2013-11-19,99.86,100.255,99.63,99.996,283928
2013-11-20,99.998,100.52,99.75,100.486,334893
2013-11-21,100.478,101.353,100.455,101.061,329302
2013-11-22,101.06,101.351,100.92,101.231,177729
2013-11-24,101.2,101.892,101.1,101.87,89919
2013-11-25,101.87,101.916,101.29,101.52,243412
2013-11-26,101.513,101.653,101.12,101.493,265343
2013-11-27,101.491,102.278,101.44,102.15,270196
2013-11-28,102.145,102.61,102.05,102.249,245027
2013-11-29,102.247,102.489,102.08,102.392,172334
2013-12-01,102.408,102.595,102.2,102.41,65638
2013-12-02,102.403,103.378,102.35,103.257,272557
2013-12-03,103.246,103.312,101.95,102.487,379218
2013-12-04,102.48,102.837,101.79,102.078,399352
2013-12-05,102.074,102.324,101.6,102.129,388706
2013-12-06,102.11,102.963,102.03,102.88,248631
2013-12-08,102.55,103.223,102.49,103.08,84838
2013-12-09,103.071,103.392,102.93,103.302,260005
2013-12-10,103.302,103.389,102.54,102.757,313950
2013-12-11,102.757,102.777,102.138,102.575,328645
2013-12-12,102.576,103.923,102.53,103.752,356890
2013-12-13,103.758,103.762,102.96,103.215,228847
2013-12-15,103.176,103.315,102.62,102.754,87218
2013-12-16,102.754,103.156,102.66,102.958,222150
2013-12-17,102.958,103.032,102.47,102.985,251765
2013-12-18,102.985,104.365,102.676,104.12,380246
2013-12-19,104.12,104.47,103.81,104.419,283400
2013-12-20,104.42,104.636,103.83,104.05,208249
2013-12-22,104.06,104.08,103.88,104.044,27167
2013-12-23,104.05,104.411,103.73,104.191,179306
2013-12-24,104.198,104.409,104.11,104.394,83424
2013-12-25,104.38,104.841,104.18,104.741,37606
2013-12-26,104.732,105.026,104.65,104.823,180483
2013-12-27,104.82,105.182,104.61,105.15,157241
2013-12-29,105.089,105.412,105.089,105.3,63063
2013-12-30,105.317,105.401,104.82,105.031,168127
2013-12-31,105.03,105.348,104.86,105.23,106566
2014-01-01,105.27,105.402,105.12,105.303,24997
2014-01-02,105.292,105.441,104.03,104.22,312925
2014-01-03,104.222,104.883,104.1,104.815,178755
2014-01-05,104.85,104.948,104.12,104.29,103848
2014-01-06,104.29,104.839,103.88,104.57,315840
2014-01-07,104.578,105.0,104.228,104.992,281235
2014-01-08,104.987,105.122,104.63,104.887,309965
2014-01-09,104.86,105.058,104.55,104.938,267019
2014-01-10,104.959,105.355,103.81,104.17,245223
2014-01-12,104.047,104.133,103.23,103.461,76915
2014-01-13,103.461,103.569,102.82,103.287,317765
2014-01-14,103.28,104.471,103.26,104.431,293277
2014-01-15,104.422,104.922,104.18,104.72,261188
2014-01-16,104.72,104.794,104.11,104.33,246500
2014-01-17,104.331,104.474,104.18,104.275,155977
2014-01-19,104.21,104.32,103.84,104.087,81278
2014-01-20,104.086,104.694,103.89,104.555,182702
2014-01-21,104.555,104.749,103.94,104.478,292569
2014-01-22,104.47,104.84,104.2,104.383,246588
2014-01-23,104.382,104.442,102.94,103.278,364573
2014-01-24,103.286,103.552,101.97,102.34,350753
2014-01-26,102.332,102.543,101.71,102.455,108828
2014-01-27,102.466,102.93,102.16,102.62,350965
2014-01-28,102.613,103.44,102.57,103.357,283936
2014-01-29,103.353,103.38,101.82,102.46,415395
2014-01-30,102.46,102.933,102.09,102.492,324698
2014-01-31,102.493,102.77,101.92,101.975,254482
2014-02-02,101.95,102.41,101.881,102.2,76546
2014-02-03,102.235,102.246,100.75,100.917,329301
2014-02-04,100.917,101.766,100.73,101.428,180170
2014-02-05,101.433,101.665,100.77,101.431,175118
2014-02-06,101.438,102.171,101.21,102.053,166691
2014-02-07,102.061,102.58,101.39,102.305,147286
2014-02-09,102.28,102.646,102.28,102.42,32131
2014-02-10,102.417,102.46,101.97,102.356,110970
2014-02-11,102.346,102.703,102.12,102.52,149847
2014-02-12,102.52,102.637,101.99,102.052,135764
2014-02-13,102.055,102.407,101.54,101.665,173139
2014-02-14,101.65,101.986,101.63,101.775,91510
2014-02-16,101.775,101.82,101.36,101.604,41966
2014-02-17,101.609,102.743,101.53,102.652,111199
2014-02-18,102.646,102.677,102.1,102.184,137758
2014-02-19,102.187,102.466,101.79,101.94,166226
2014-02-20,101.938,102.604,101.64,102.527,161587
2014-02-21,102.527,102.828,102.32,102.475,96245
2014-02-23,102.5,102.68,102.13,102.32,43482
